epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,822.224,1.60993,3.70705,1.76118,0.37811,0.28431,0.23932,0.16515,1.1533,2.44245,1.4202,0.000133314,0.000133314,0.000133314
2,1553.26,1.29857,2.76032,1.50434,0.55591,0.39859,0.40054,0.29195,1.03605,2.00013,1.30808,0.000213851,0.000213851,0.000213851
3,2282.84,1.21776,2.343,1.44087,0.58205,0.49624,0.51188,0.38555,0.95607,1.66524,1.23938,0.000241589,0.000241589,0.000241589
4,2998.29,1.14162,2.04919,1.38675,0.65174,0.56472,0.5963,0.46085,0.89583,1.42619,1.18823,0.0001624,0.0001624,0.0001624
5,3723.26,1.07155,1.83586,1.3325,0.67645,0.6123,0.64545,0.5069,0.84869,1.29712,1.13827,8.32e-05,8.32e-05,8.32e-05
