epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,80.5881,0.91227,1.3393,1.25907,0.82467,0.69492,0.76169,0.54286,1.11682,1.83771,1.47939,0.0011882,0.0011882,0.0011882
43,82.4306,0.94869,1.33026,1.26736,0.82467,0.69492,0.76169,0.54286,1.11682,1.83771,1.47939,0.0011684,0.0011684,0.0011684
44,84.2639,0.98304,1.43834,1.28109,0.78595,0.74685,0.8001,0.58264,0.95085,1.56308,1.27075,0.0011486,0.0011486,0.0011486
45,86.0948,0.92727,1.29903,1.18938,0.78595,0.74685,0.8001,0.58264,0.95085,1.56308,1.27075,0.0011288,0.0011288,0.0011288
46,87.7595,0.97007,1.28973,1.29565,0.78595,0.74685,0.8001,0.58264,0.95085,1.56308,1.27075,0.001109,0.001109,0.001109
47,89.5397,0.9646,1.30685,1.22433,0.76129,0.81086,0.81278,0.58915,0.92933,1.66155,1.26225,0.0010892,0.0010892,0.0010892
48,91.2469,0.77371,1.20968,1.08734,0.76129,0.81086,0.81278,0.58915,0.92933,1.66155,1.26225,0.0010694,0.0010694,0.0010694
49,93.0068,0.92721,1.31264,1.19422,0.81328,0.72881,0.8133,0.6017,0.91994,1.7172,1.27394,0.0010496,0.0010496,0.0010496
50,94.7858,0.80824,1.25807,1.17575,0.81328,0.72881,0.8133,0.6017,0.91994,1.7172,1.27394,0.0010298,0.0010298,0.0010298
51,96.6649,0.75485,1.24803,1.20378,0.81328,0.72881,0.8133,0.6017,0.91994,1.7172,1.27394,0.00101,0.00101,0.00101
52,98.4362,0.93039,1.20331,1.24836,0.78473,0.74576,0.81526,0.62196,0.91349,1.7015,1.25033,0.0009902,0.0009902,0.0009902
53,100.101,0.92715,1.47977,1.33197,0.78473,0.74576,0.81526,0.62196,0.91349,1.7015,1.25033,0.0009704,0.0009704,0.0009704
54,101.905,0.89854,1.20852,1.24769,0.78473,0.74576,0.81526,0.62196,0.91349,1.7015,1.25033,0.0009506,0.0009506,0.0009506
55,103.698,0.79675,1.14455,1.16509,0.78811,0.75656,0.81709,0.64722,0.81236,1.61904,1.13879,0.0009308,0.0009308,0.0009308
56,105.405,0.75191,1.13387,1.19667,0.78811,0.75656,0.81709,0.64722,0.81236,1.61904,1.13879,0.000911,0.000911,0.000911
57,107.121,0.59775,1.11024,1.1242,0.81232,0.76271,0.80056,0.65296,0.69957,1.47873,1.03502,0.0008912,0.0008912,0.0008912
58,108.82,0.75761,1.18104,1.16709,0.81232,0.76271,0.80056,0.65296,0.69957,1.47873,1.03502,0.0008714,0.0008714,0.0008714
59,110.516,0.75535,1.13621,1.20501,0.81232,0.76271,0.80056,0.65296,0.69957,1.47873,1.03502,0.0008516,0.0008516,0.0008516
60,112.276,0.83892,1.29698,1.22308,0.79804,0.80378,0.81566,0.657,0.68209,1.38422,1.00811,0.0008318,0.0008318,0.0008318
61,113.987,0.8683,1.30589,1.15383,0.79804,0.80378,0.81566,0.657,0.68209,1.38422,1.00811,0.000812,0.000812,0.000812
62,115.677,0.67136,1.06008,1.12438,0.79804,0.80378,0.81566,0.657,0.68209,1.38422,1.00811,0.0007922,0.0007922,0.0007922
63,117.44,0.7781,1.07321,1.10756,0.8733,0.81356,0.88104,0.70827,0.69678,1.22153,1.00863,0.0007724,0.0007724,0.0007724
64,119.124,0.77545,1.24351,1.23282,0.8733,0.81356,0.88104,0.70827,0.69678,1.22153,1.00863,0.0007526,0.0007526,0.0007526
65,120.971,0.8023,1.06511,1.1769,0.91081,0.84746,0.90153,0.71073,0.71273,1.11677,1.02397,0.0007328,0.0007328,0.0007328
66,122.779,0.75648,1.08249,1.17283,0.91081,0.84746,0.90153,0.71073,0.71273,1.11677,1.02397,0.000713,0.000713,0.000713
67,124.497,0.70488,1.05202,1.09213,0.91081,0.84746,0.90153,0.71073,0.71273,1.11677,1.02397,0.0006932,0.0006932,0.0006932
68,126.229,0.70526,0.95585,1.02674,0.88792,0.88136,0.91385,0.73723,0.71496,1.11811,1.02026,0.0006734,0.0006734,0.0006734
69,127.982,0.68595,1.04024,1.06354,0.88792,0.88136,0.91385,0.73723,0.71496,1.11811,1.02026,0.0006536,0.0006536,0.0006536
70,129.906,0.88357,1.25297,1.20213,0.88792,0.88136,0.91385,0.73723,0.71496,1.11811,1.02026,0.0006338,0.0006338,0.0006338
71,131.735,0.71961,1.08072,1.12287,0.9136,0.89617,0.94088,0.7764,0.70016,1.07371,1.003,0.000614,0.000614,0.000614
72,133.583,0.68364,1.03554,1.10334,0.9136,0.89617,0.94088,0.7764,0.70016,1.07371,1.003,0.0005942,0.0005942,0.0005942
73,135.534,0.87201,1.23337,1.2789,0.92765,0.89831,0.95654,0.80775,0.67718,0.98697,0.98251,0.0005744,0.0005744,0.0005744
74,137.531,0.62051,0.94384,1.11595,0.92765,0.89831,0.95654,0.80775,0.67718,0.98697,0.98251,0.0005546,0.0005546,0.0005546
75,139.323,0.72174,0.94574,1.08493,0.92765,0.89831,0.95654,0.80775,0.67718,0.98697,0.98251,0.0005348,0.0005348,0.0005348
76,141.149,0.62962,0.93751,1.03331,0.93052,0.90802,0.96457,0.81595,0.65816,0.93727,0.96316,0.000515,0.000515,0.000515
77,142.963,0.7242,1.06499,1.04268,0.93052,0.90802,0.96457,0.81595,0.65816,0.93727,0.96316,0.0004952,0.0004952,0.0004952
78,144.816,0.60523,1.06343,1.08228,0.93052,0.90802,0.96457,0.81595,0.65816,0.93727,0.96316,0.0004754,0.0004754,0.0004754
79,146.643,0.72922,1.05325,1.08174,0.94894,0.91525,0.9728,0.82744,0.63271,0.908,0.94121,0.0004556,0.0004556,0.0004556
80,148.501,0.77022,0.9724,1.09444,0.94894,0.91525,0.9728,0.82744,0.63271,0.908,0.94121,0.0004358,0.0004358,0.0004358
81,150.405,0.7898,1.09686,1.23294,0.96212,0.94915,0.97638,0.82234,0.58009,0.86853,0.90624,0.000416,0.000416,0.000416
82,152.059,0.72725,1.092,1.11199,0.96212,0.94915,0.97638,0.82234,0.58009,0.86853,0.90624,0.0003962,0.0003962,0.0003962
83,153.927,0.78153,1.01711,1.12277,0.96212,0.94915,0.97638,0.82234,0.58009,0.86853,0.90624,0.0003764,0.0003764,0.0003764
84,155.775,0.73254,0.95655,1.12842,0.98084,0.91525,0.97856,0.82052,0.58883,0.83227,0.90267,0.0003566,0.0003566,0.0003566
85,157.477,0.69544,1.01194,1.12073,0.98084,0.91525,0.97856,0.82052,0.58883,0.83227,0.90267,0.0003368,0.0003368,0.0003368
86,159.318,0.64737,0.97776,1.04636,0.98084,0.91525,0.97856,0.82052,0.58883,0.83227,0.90267,0.000317,0.000317,0.000317
87,161.055,0.69642,0.99534,1.07545,0.96996,0.91525,0.97784,0.82566,0.58589,0.815,0.90852,0.0002972,0.0002972,0.0002972
88,162.733,0.59279,0.87081,1.0129,0.96996,0.91525,0.97784,0.82566,0.58589,0.815,0.90852,0.0002774,0.0002774,0.0002774
89,164.421,0.74149,1.00585,1.07175,0.91839,0.95372,0.97914,0.83363,0.56707,0.80269,0.89718,0.0002576,0.0002576,0.0002576
