epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,599.325,1.61335,3.62219,1.75147,0.47589,0.29105,0.27689,0.19456,1.17213,2.32142,1.41972,0.000133277,0.000133277,0.000133277
2,1134.38,1.27634,2.55277,1.46646,0.57893,0.44787,0.47291,0.34348,1.04272,1.77171,1.30241,0.000213821,0.000213821,0.000213821
3,1660.44,1.18995,2.08294,1.38848,0.66211,0.53764,0.5736,0.43001,0.96382,1.44174,1.20777,0.000241566,0.000241566,0.000241566
4,2182.16,1.10973,1.79401,1.3322,0.68516,0.61842,0.65494,0.5089,0.88738,1.2212,1.16794,0.0001624,0.0001624,0.0001624
5,2705.51,1.0328,1.56526,1.2766,0.70464,0.65357,0.69681,0.55345,0.81225,1.07541,1.10509,8.32e-05,8.32e-05,8.32e-05
