epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,610.738,1.61039,3.63818,1.75053,0.44571,0.2663,0.25468,0.17799,1.14329,2.35952,1.38903,0.000133295,0.000133295,0.000133295
2,1186.64,1.28098,2.60228,1.46945,0.56413,0.45231,0.46094,0.33932,1.04636,1.81093,1.28478,0.000213836,0.000213836,0.000213836
3,1754.81,1.1893,2.14506,1.39786,0.66029,0.5346,0.57084,0.43295,0.94748,1.46732,1.20765,0.000241577,0.000241577,0.000241577
4,2316.2,1.11362,1.84537,1.34111,0.68314,0.62431,0.65376,0.50545,0.87463,1.23059,1.15857,0.0001624,0.0001624,0.0001624
5,2890.85,1.0428,1.64096,1.28989,0.7042,0.64673,0.68612,0.5438,0.82027,1.12968,1.11601,8.32e-05,8.32e-05,8.32e-05
