epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,222.739,1.39989,3.57999,1.69803,0.71471,0.0651,0.05359,0.03368,1.91279,3.84453,2.0667,0.000329317,0.000329317,0.000329317
2,323.744,1.43903,3.1928,1.75666,0.33519,0.15952,0.07585,0.04843,2.04593,4.09944,2.21138,0.00064953,0.00064953,0.00064953
3,429.152,1.59686,3.134,1.81468,0.09886,0.23246,0.07339,0.03633,2.12322,4.08796,2.35545,0.000956543,0.000956543,0.000956543
4,533.725,1.46831,3.01886,1.71984,0.58469,0.10871,0.1362,0.08137,1.93866,3.74885,2.20056,0.0009406,0.0009406,0.0009406
5,660.152,1.52516,2.97519,1.75641,0.17206,0.23971,0.09192,0.04936,2.13675,3.72962,2.37572,0.0009208,0.0009208,0.0009208
6,758.798,1.47507,2.88593,1.72747,0.11162,0.18109,0.09116,0.05845,1.9586,3.96832,2.1644,0.000901,0.000901,0.000901
7,856.508,1.45325,2.86929,1.73807,0.21961,0.17418,0.11067,0.06124,2.0055,3.57313,2.2595,0.0008812,0.0008812,0.0008812
8,961.735,1.45511,2.83197,1.71285,0.35394,0.13897,0.0956,0.05241,1.9089,3.44173,2.18687,0.0008614,0.0008614,0.0008614
9,1066.16,1.47346,2.83151,1.71483,0.19616,0.21069,0.11685,0.06946,1.78484,3.41591,2.02655,0.0008416,0.0008416,0.0008416
10,1169.95,1.37178,2.73081,1.65627,0.17532,0.29143,0.13076,0.07776,1.85667,3.37915,2.12335,0.0008218,0.0008218,0.0008218
11,1274.4,1.41142,2.73614,1.67234,0.20364,0.21129,0.12636,0.07433,1.95312,3.49034,2.20641,0.000802,0.000802,0.000802
12,1379.47,1.37745,2.58598,1.65767,0.18973,0.1868,0.1324,0.07483,1.96682,3.4795,2.25047,0.0007822,0.0007822,0.0007822
13,1483.41,1.38142,2.65929,1.66437,0.28808,0.17222,0.16178,0.08293,1.92476,3.27899,2.14899,0.0007624,0.0007624,0.0007624
14,1587.99,1.34221,2.56831,1.62434,0.4949,0.18824,0.17073,0.10509,1.79442,3.18835,2.07116,0.0007426,0.0007426,0.0007426
15,1692.33,1.33154,2.53843,1.62605,0.37476,0.21516,0.22726,0.12328,1.86563,3.20109,2.08533,0.0007228,0.0007228,0.0007228
16,1796.15,1.32995,2.53949,1.63388,0.26075,0.23243,0.21312,0.1314,1.96642,3.27098,2.2021,0.000703,0.000703,0.000703
17,1900.31,1.38034,2.58362,1.66011,0.2572,0.27719,0.14902,0.09333,1.95817,3.3195,2.20674,0.0006832,0.0006832,0.0006832
