epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5296.2,1.29704,2.25304,1.61474,0.5736,0.44168,0.46184,0.31271,1.27761,1.84412,1.56777,0.0700085,0.00333239,0.00333239
2,10715,1.24889,2.14712,1.56374,0.58729,0.40352,0.45221,0.32249,1.14281,1.78275,1.47038,0.0395686,0.00622578,0.00622578
3,14842.5,1.23787,2.1119,1.55664,0.63036,0.49248,0.53576,0.39917,1.0107,1.55796,1.37134,0.00868864,0.00867918,0.00867918
4,18885.8,1.21234,2.032,1.53366,0.61574,0.5005,0.53351,0.39566,1.03103,1.56724,1.38548,0.00802,0.00802,0.00802
5,22915.5,1.18127,1.95027,1.50787,0.6596,0.52887,0.5664,0.42202,0.99743,1.4505,1.35702,0.00736,0.00736,0.00736
6,28175.1,1.15601,1.86993,1.48994,0.67718,0.55042,0.59556,0.44651,0.98745,1.35139,1.34453,0.0067,0.0067,0.0067
7,34043.1,1.13376,1.79877,1.46847,0.68536,0.54079,0.59817,0.4521,0.97934,1.34853,1.35719,0.00604,0.00604,0.00604
8,38160.6,1.10206,1.73436,1.44706,0.68153,0.58997,0.62489,0.4812,0.9252,1.26364,1.30109,0.00538,0.00538,0.00538
9,42159.9,1.0851,1.67674,1.42978,0.70199,0.60598,0.64562,0.49779,0.91877,1.20185,1.29208,0.00472,0.00472,0.00472
