epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.72577,1.43815,3.58233,1.70269,0.00554,0.42278,0.05932,0.03761,1.78349,3.64839,2.03525,0.000325397,0.000325397,0.000325397
2,14.779,1.41101,3.19123,1.68339,0.30802,0.14701,0.05952,0.03505,1.96228,3.27481,2.11348,0.000528302,0.000528302,0.000528302
3,22.3468,1.46748,3.0638,1.73191,0.1414,0.16192,0.10294,0.06325,2.05557,3.20922,2.15645,0.000599206,0.000599206,0.000599206
4,29.4816,1.48006,2.96715,1.72836,0.17502,0.23963,0.10266,0.05784,1.95621,3.24043,2.09119,0.000406,0.000406,0.000406
5,36.4938,1.36624,2.88792,1.66171,0.14613,0.1855,0.12209,0.0784,1.91792,3.10937,2.05728,0.000208,0.000208,0.000208
