epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.70189,1.39669,3.55583,1.68603,0.65311,0.02857,0.05865,0.03069,1.71039,3.30559,2.005,0.000329317,0.000329317,0.000329317
2,19.3969,1.40674,3.16765,1.6677,0.25208,0.08956,0.06502,0.03945,1.8392,3.16749,2.08488,0.000531446,0.000531446,0.000531446
3,28.1413,1.4209,3.10605,1.7184,0.31133,0.15271,0.0742,0.04067,1.93997,3.4484,2.19877,0.000601574,0.000601574,0.000601574
4,36.7184,1.46686,3.01363,1.72848,0.12433,0.12677,0.08762,0.05171,1.71727,3.11133,1.97413,0.000406,0.000406,0.000406
5,45.08,1.35853,2.90837,1.67013,0.21496,0.17767,0.1081,0.07233,1.71065,3.00793,1.9684,0.000208,0.000208,0.000208
